Method,Name,Error,Occurrences
GET,htj2k_lossy_3bpp_plt,HTTPError('400 Client Error: Bad Request for url: htj2k_lossy_3bpp_plt'),234
GET,j2k1_lossy_Qfactor_90_plt,HTTPError('400 Client Error: Bad Request for url: j2k1_lossy_Qfactor_90_plt'),234
GET,htj2k_bodelian_lossy,HTTPError('400 Client Error: Bad Request for url: htj2k_bodelian_lossy'),234
GET,htj2k_lossy_Qfactor_90_plt,HTTPError('400 Client Error: Bad Request for url: htj2k_lossy_Qfactor_90_plt'),234
GET,jp2-lossless-round1,HTTPError('400 Client Error: Bad Request for url: jp2-lossless-round1'),234
GET,j2k1_lossless_plt,HTTPError('400 Client Error: Bad Request for url: j2k1_lossless_plt'),234
GET,ptiff-lossy-round1,HTTPError('400 Client Error: Bad Request for url: ptiff-lossy-round1'),234
GET,ptiff-lossless-round1,HTTPError('400 Client Error: Bad Request for url: ptiff-lossless-round1'),234
GET,htj2k-lossless-round1,HTTPError('400 Client Error: Bad Request for url: htj2k-lossless-round1'),234
GET,htj2k-lossy-round1,HTTPError('400 Client Error: Bad Request for url: htj2k-lossy-round1'),234
GET,htj2k_lossless_plt,HTTPError('400 Client Error: Bad Request for url: htj2k_lossless_plt'),234
GET,j2k1_bodelian_lossy,HTTPError('400 Client Error: Bad Request for url: j2k1_bodelian_lossy'),234
GET,j2k_bodelian_lossless,HTTPError('400 Client Error: Bad Request for url: j2k_bodelian_lossless'),234
GET,jp2-lossy-round1,HTTPError('400 Client Error: Bad Request for url: jp2-lossy-round1'),234
GET,j2k1_lossy_3bpp_plt,HTTPError('400 Client Error: Bad Request for url: j2k1_lossy_3bpp_plt'),234
GET,htj2k-bodelian-lossless,HTTPError('400 Client Error: Bad Request for url: htj2k-bodelian-lossless'),234
GET,htj2k_lossless,HTTPError('400 Client Error: Bad Request for url: htj2k_lossless'),234
